auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoTFT,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoTFT,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoTFT,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoTFT,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTFT,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoTSMixer,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTSMixer,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoTSMixer,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTSMixer,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTSMixer,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoTSMixer,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoTSMixer,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoTSMixer,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoTSMixer,n_series,True,empty,,,POSITIONAL_OR_KEYWORD
AutoTSMixer,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoTSMixer,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoTSMixer,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoTSMixer,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoTSMixer,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
